Date,Total_Confirmed_Cases,Total_Fatalities,Total_Recovered_Cases,New_Confirmed_Cases,New_Fatalities,New_Recovered_Cases,Remaining_Confirmed_Cases
737729,141757,8725,111503,126,10,325,21529
737729,50090,1234,28083,1953,22,213,20773
737729,6642,24,4676,0,0,0,1942
737729,5535605,159884,5005161,18947,407,17726,370560
737729,148,3,143,0,0,0,2
737729,52844,1279,20045,1803,25,168,31520
737729,2500,67,2250,23,0,32,183
737729,52706,1237,32774,1210,18,1444,18695
737729,585,1,511,3,0,0,73
737729,8793,95,7981,99,0,68,717
737729,291,0,283,0,0,0,8
737729,21793,426,20117,0,0,0,1250
737729,237313,10187,198952,2374,24,2017,28174
737729,4866,62,1924,0,0,0,2880
737729,1483,98,1314,0,0,0,71
737729,510256,14207,486642,1685,49,1490,9407
737729,91366,4739,86135,27,0,24,492
737729,1074184,31314,969230,11033,179,9797,73640
737729,545,7,498,8,0,0,40
737729,5290,92,3887,0,0,0,1311
737729,11306,307,10585,0,0,0,414
737729,109971,1385,66719,1105,14,517,41867
737729,20716,126,20365,24,2,16,225
737729,49316,546,32818,2769,15,1908,15952
737729,6887,128,6245,86,0,67,514
737729,4366,26,1882,149,1,0,2458
737729,335102,3251,143359,11429,173,5784,188492
737729,46863,721,35020,1127,2,472,11122
737729,712,13,659,0,0,0,40
737729,5561,61,5441,2,0,4,59
737729,50,0,33,8,0,4,17
737729,127018,2245,104862,686,9,376,19911
737729,168192,12670,141759,1045,38,0,13763
737729,107555,6266,99452,179,8,99,1837
737729,33445,975,29186,0,4,0,3284
737729,5088,83,4965,5,0,1,40
737729,463,0,412,0,0,0,51
737729,4905,73,3811,134,0,64,1021
737729,5917,117,5646,8,0,89,154
737729,96169,1469,52517,380,5,804,42183
737729,34,2,31,0,0,0,1
737729,16113,358,11300,203,0,0,4455
737729,1414364,36827,123095,35070,222,871,1254442
737729,8968,55,8698,0,0,0,215
737729,3672,119,3196,2,0,320,357
737729,38936,307,22691,1673,22,2881,15938
737729,531790,10483,356410,14054,92,4489,164897
737729,48055,320,47169,0,0,0,566
737729,39251,626,23074,2055,6,0,15551
